config,model,seed,run,dataset,accuracy,balanced_accuracy,auc,precision,recall,f1,rmse,mae,r2,val_accuracy
D,lstm,10,10,kotekar,0.583333333,0.600601604,0.657754011,0.694915254,0.465909091,0.557823129,0.35738898,0.285128295,0.215471029,0.767741935
D,lstm,11,11,kotekar,0.596153846,0.606951872,0.646891711,0.686567164,0.522727273,0.593548387,0.361862097,0.285189629,0.195709646,0.780645161
D,lstm,12,12,kotekar,0.576923077,0.596590909,0.669451872,0.696428571,0.443181818,0.541666667,0.373811408,0.299924374,0.141714513,0.774193548
D,lstm,13,13,kotekar,0.58974359,0.592914439,0.66059492,0.657894737,0.568181818,0.609756098,0.371398881,0.296870202,0.152757287,0.8
D,lstm,14,14,kotekar,0.564102564,0.5,0.437332888,0.564102564,1,0.721311475,0.421722862,0.349643648,-0.092398167,0.6
D,lstm,15,15,kotekar,0.564102564,0.5,0.469084225,0.564102564,1,0.721311475,0.404865344,0.329270035,-0.006810784,0.6
D,lstm,16,16,kotekar,0.564102564,0.5,0.46290107,0.564102564,1,0.721311475,0.403520345,0.327486873,-0.000132442,0.6
D,lstm,17,17,kotekar,0.564102564,0.5,0.457553476,0.564102564,1,0.721311475,0.40336496,0.325594395,0.000637591,0.6
D,lstm,18,18,kotekar,0.564102564,0.5,0.467413102,0.564102564,1,0.721311475,0.406682976,0.33420825,-0.015871286,0.6
D,lstm,19,19,kotekar,0.564102564,0.5,0.475768717,0.564102564,1,0.721311475,0.40344447,0.326355606,0.000243604,0.6
D,lstm,20,20,kotekar,0.557692308,0.581216578,0.659759358,0.68627451,0.397727273,0.503597122,0.36054917,0.289420843,0.201535404,0.761290323
D,lstm,21,21,kotekar,0.564102564,0.5,0.466911765,0.564102564,1,0.721311475,0.421094331,0.348614991,-0.089144349,0.6
D,lstm,22,22,kotekar,0.564102564,0.5,0.465741979,0.564102564,1,0.721311475,0.404474837,0.323405206,-0.00486958,0.6
D,lstm,23,23,kotekar,0.564102564,0.5,0.471925134,0.564102564,1,0.721311475,0.403463121,0.325916111,0.000151098,0.6
D,lstm,24,24,kotekar,0.564102564,0.5,0.465407754,0.564102564,1,0.721311475,0.403358181,0.325956821,0.000671208,0.6
D,lstm,25,25,kotekar,0.564102564,0.5,0.479445187,0.564102564,1,0.721311475,0.407332793,0.333778083,-0.019120216,0.6
D,lstm,26,26,kotekar,0.564102564,0.58355615,0.665608289,0.678571429,0.431818182,0.527777778,0.36473876,0.29205057,0.182871163,0.774193548
D,lstm,27,27,kotekar,0.564102564,0.5,0.483790107,0.564102564,1,0.721311475,0.403789847,0.324111879,-0.001468897,0.6
D,lstm,28,28,kotekar,0.564102564,0.5,0.469084225,0.564102564,1,0.721311475,0.407518515,0.322772563,-0.02004981,0.6
D,lstm,29,29,kotekar,0.564102564,0.5,0.468917112,0.564102564,1,0.721311475,0.403894879,0.324040949,-0.001989961,0.6
E,gru,0,0,kotekar,0.647435897,0.652406417,0.673796791,0.72,0.613636364,0.662576687,0.364871942,0.286045015,0.182274401,0.780645161
E,gru,1,1,kotekar,0.583333333,0.588903743,0.666610963,0.657534247,0.545454545,0.596273292,0.370598251,0.29167667,0.156406105,0.793548387
E,gru,2,2,kotekar,0.602564103,0.610962567,0.662934492,0.685714286,0.545454545,0.607594937,0.36663574,0.28395775,0.174349487,0.806451613
E,gru,3,3,kotekar,0.602564103,0.610962567,0.660427807,0.685714286,0.545454545,0.607594937,0.361066094,0.286929667,0.199244142,0.787096774
E,gru,4,4,kotekar,0.602564103,0.609291444,0.665775401,0.680555556,0.556818182,0.6125,0.387992918,0.297130495,0.075356662,0.793548387
